direction,datetime,date,year,week,weekday,hour
incoming,2025-12-02 10:52:27.507,2025-12-02,2025,49,1,10
incoming,2025-12-02 10:22:55.392,2025-12-02,2025,49,1,10
incoming,2025-12-02 10:22:13.158,2025-12-02,2025,49,1,10
incoming,2025-12-02 09:27:27.205,2025-12-02,2025,49,1,9
incoming,2025-12-02 07:16:56.667,2025-12-02,2025,49,1,7
incoming,2025-12-02 07:13:07.997,2025-12-02,2025,49,1,7
incoming,2025-12-02 07:12:19.721,2025-12-02,2025,49,1,7
incoming,2025-12-02 07:08:47.251,2025-12-02,2025,49,1,7
incoming,2025-12-02 07:07:47.736,2025-12-02,2025,49,1,7
incoming,2025-12-02 06:44:47.809,2025-12-02,2025,49,1,6
incoming,2025-12-02 06:31:01.044,2025-12-02,2025,49,1,6
incoming,2025-12-02 06:24:41.502,2025-12-02,2025,49,1,6
incoming,2025-12-02 03:30:15.402,2025-12-02,2025,49,1,3
incoming,2025-12-02 02:30:12.460,2025-12-02,2025,49,1,2
incoming,2025-12-02 00:49:42.710,2025-12-02,2025,49,1,0
incoming,2025-12-01 20:41:08.935,2025-12-01,2025,49,0,20
incoming,2025-12-01 18:04:40.583,2025-12-01,2025,49,0,18
incoming,2025-12-01 16:56:39.843,2025-12-01,2025,49,0,16
incoming,2025-12-01 16:47:59.353,2025-12-01,2025,49,0,16
incoming,2025-12-01 16:30:29.134,2025-12-01,2025,49,0,16
incoming,2025-12-01 16:12:34.199,2025-12-01,2025,49,0,16
incoming,2025-12-01 15:57:09.736,2025-12-01,2025,49,0,15
incoming,2025-12-01 14:06:37.403,2025-12-01,2025,49,0,14
incoming,2025-12-01 13:32:02.338,2025-12-01,2025,49,0,13
incoming,2025-12-01 13:01:31.907,2025-12-01,2025,49,0,13
incoming,2025-12-01 12:48:47.561,2025-12-01,2025,49,0,12
incoming,2025-12-01 12:48:44.841,2025-12-01,2025,49,0,12
incoming,2025-12-01 12:06:34.876,2025-12-01,2025,49,0,12
incoming,2025-12-01 10:31:45.762,2025-12-01,2025,49,0,10
incoming,2025-12-01 10:04:19.289,2025-12-01,2025,49,0,10
incoming,2025-12-01 10:02:11.008,2025-12-01,2025,49,0,10
incoming,2025-12-01 10:00:55.504,2025-12-01,2025,49,0,10
incoming,2025-12-01 09:20:50.355,2025-12-01,2025,49,0,9
incoming,2025-12-01 05:15:14.081,2025-12-01,2025,49,0,5
incoming,2025-11-30 13:40:46.016,2025-11-30,2025,48,6,13
incoming,2025-11-30 10:01:03.459,2025-11-30,2025,48,6,10
incoming,2025-11-29 20:47:23.425,2025-11-29,2025,48,5,20
incoming,2025-11-29 15:01:38.880,2025-11-29,2025,48,5,15
incoming,2025-11-29 13:01:49.523,2025-11-29,2025,48,5,13
incoming,2025-11-28 20:33:38.947,2025-11-28,2025,48,4,20
incoming,2025-11-28 16:48:30.737,2025-11-28,2025,48,4,16
incoming,2025-11-28 15:50:00.018,2025-11-28,2025,48,4,15
incoming,2025-11-28 14:58:11.524,2025-11-28,2025,48,4,14
incoming,2025-11-28 14:53:27.417,2025-11-28,2025,48,4,14
